objectid,filename,,,title,creator,date,description,subject,location (orgin),latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,scylla_bowl_british.png,,,Bowl,,12th ,"Bronze 'Scylla' bowl with engraved mythological scenes in medallions and surrounding inscriptions. Features Scylla cutting her father Nisus’s hair to win Minos’s favor, along with depictions of Orpheus and Eurydice, Ganymede, Ceres, and Triptolemus. Modern inscription on the base.",,Germany,51.1657,10.4515,https://www.britishmuseum.org/collection/object/H_1925-1008-1,,,image/png,,,
coll002,alchemical_poem_bodleian.png,,,Alchemical poem,,17th,,,Germany,51.1657,0.4515,https://digital.bodleian.ox.ac.uk/objects/01e75ac9-72e6-466e-8bca-5b645d68dc39/surfaces/f1e19b72-fde2-4886-8928-26ea17484cbc/,,,image/png,,CC,https://digital.bodleian.ox.ac.uk/terms/
coll003,alchemical_roll_castle_bodleian.png,,,Alchemical Roll,,16th,,,England,52.3555,1.1743,https://digital.bodleian.ox.ac.uk/objects/b5366239-58ab-4033-9b90-0597f8275a25/surfaces/c943257a-d4d1-46ce-ae20-5ddc28f74e5b/,,,image/png,,,
coll004,alchemical_roll_dragon_bodleian.png,,,Alchemical Roll,,16th ,Medieval and Renaissance Manuscript Illumination,,England,52.3555,1.1743,https://digital.bodleian.ox.ac.uk/objects/1b6fe84f-d5ea-4f9c-9afb-63fed46f6346/surfaces/6a11e4ae-ba29-42a0-9ca0-634ae7b71788/,,,image/png,,"Photo: © Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/terms/
coll005,jogn_gower_manuscript_princeton.png,,,Jogn Gower Manuscript ,,15th,"Landscape with star named Alpheta at left in blue sky, gemstone of topaz in center and plant, rosemary at right, with city in background. (1150)",,England,52.3555,1.1743,https://theindex.princeton.edu/s/view/ViewWorkOfArt.action?id=390790CA-48C0-4805-ACB8-39A7765CE373,,,image/png,,,
coll006,reliquary_pendant_front_princeton.png,,,Pendant Reliquary,,12th ,"A full-figure depiction of Demetrios of Thessalonica, nimbed and orant, with his name inscribed. He wears a tunic adorned with engraved gems and a prominent chlamys draped across his chest. A rectangular plaque with a rhombus enclosing a small cross sits at the center. Dated to 1150.",,Greece,39.0742,21.8243,https://theindex.princeton.edu/s/view/ViewWorkOfArt.action?id=A59F8A3C-FB27-44A0-A030-61FF86D22176,,,image/png,,,
coll007,crozier_princeton.png,,,Crozier,,13th,"Six pearled lozenges arranged vertically, each bearing iconographic scene. (1200-1220)",,Italy ,41.8719,12.5674,https://theindex.princeton.edu/s/view/ViewWorkOfArt.action?id=7237BDEB-6E23-418B-9F28-8F2EE9F39289,,,image/png,,,
coll008,astrolabe_british.png,,,Astrolabe,,14th,All the markings of this brass astrolabe are in Hebrew script.,,Spain/Italy,41.8719,12.5674,https://www.britishmuseum.org/collection/object/H_1893-0616-3,,,image/png,Hebrew,,
coll009,amulet_finger_ring_british.png,,,Amulet Ring,,14th,"Gold amulet-ring, with engravings on two outer faces and underside of bezel.",,Europe,55,4.4,https://www.britishmuseum.org/collection/image/417567001,,,image/png,English,CC,
coll010,intaglio_amulet_front_princeton.png,,,Intaglio,,7th,"Oval amulet of rock crystal, incised with figures on obverse, inscription on reverse. (300-699)",,Egypt,26.8206,30.8025,https://theindex.princeton.edu/s/view/ViewWorkOfArt.action?id=A228EC56-0B7F-4EE1-8E56-D43366D14991,,,image/png,,,
coll011,madonna_and_child_princeton.png,,,Christ Child Panel,,14th,"The Virgin Mary, veiled and seated on a draped throne, holds the Christ Child, who wears a coral amulet and is partially draped. Both have decorated nimbi. They are flanked by six angels in varied poses—two with joined hands, two with hands crossed on their chests, and two with arms crossed.",,Italy ,41.8719,12.5674,https://theindex.princeton.edu/s/view/ViewWorkOfArt.action?id=75AE69EF-D92F-4137-B6D7-47625619C3CA,,,image/png,,,
coll012,cowrie_shell_amulet_british.png,,,Cowrie Shell ,,7th ,Cowrie shell amulet,,England,52.3555,1.1743,https://www.britishmuseum.org/collection/object/H_1879-0524-137,,,image/png,,,
coll013,herbarium_pseudo_apuleius_europeana.jpg,,,"Herbarium / Pseudo-Apuleius, and other text(s)",,14th,Illustration of coloured drawings of various herbs and animals.,,Northern France,46.2276,2.2137,https://www.europeana.eu/en/item/598/9939757202802711_item_851469?page=43,,,image/png,,,http://creativecommons.org/publicdomain/mark/1.0/
